Source,Target,Type,Sourcename,Relationship,Targetname,Reference,Strength,Notes,Entity 1 Types,Entity 2 Types,From,Until
1,152,Undirected,5252531,was group owned by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,1992-00-00,9/1/00
1,152,Undirected,5252531,was operated by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,1992-00-00,
1,152,Undirected,5252531,was shipmanaged by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,1992-00-00,
2,152,Undirected,5314444,was group owned by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,6/1/92,6/1/00
2,152,Undirected,5314444,was operated by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,6/23/95,
2,152,Undirected,5314444,was shipmanaged by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,6/23/95,
3,294,Undirected,6514601,was group owned by,Laurel Sea Transport Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=laurel%20sea%20transport&OWCODE=0148403,5,,ship,company,1980-99-99,
4,294,Undirected,6800402,was group owned by,Laurel Sea Transport Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=laurel%20sea%20transport&OWCODE=0148403,5,,ship,company,6/1/90,6/1/92
4,152,Undirected,6800402,was group owned by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,6/1/92,3/4/93
5,294,Undirected,7009639,was group owned by,Laurel Sea Transport Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=laurel%20sea%20transport&OWCODE=0148403,5,,ship,company,1980-99-99,
6,152,Undirected,7206885,was group owned by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,6/1/95,6/1/97
7,294,Undirected,7227073,was group owned by,Laurel Sea Transport Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=laurel%20sea%20transport&OWCODE=0148403,5,,ship,company,6/1/90,6/1/92
7,152,Undirected,7227073,was group owned by,Arkadia Lines,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=arkadia%20lines&OWCODE=1304971,5,,ship,company,6/1/92,6/1/97
8,294,Undirected,7302885,was group owned by,Laurel Sea Transport Ltd,http://sea-web.com/authenticated/authenticated_handler.aspx?control=ownerovw&qs=laurel%20sea%20transport&OWCODE=0148403,5,,ship,company,1993-06-00,12/23/93
