ID,Label,Type
1,5252531,ship
2,5314444,ship
3,6514601,ship
4,6800402,ship
5,7009639,ship
6,7206885,ship
7,7227073,ship
8,7302885,ship
9,7350507,ship
10,7370832,ship
11,7370909,ship
12,7370911,ship
13,7370935,ship
14,7372086,ship
15,7372098,ship
16,7372141,ship
17,7373573,ship
18,7378690,ship
19,7378987,ship
20,7381506,ship
21,7523063,ship
22,7525944,ship
23,7527540,ship
24,7613076,ship
25,7627247,ship
26,7627259,ship
27,7902582,ship
28,8005094,ship
29,8014265,ship
30,8024387,ship
31,8028747,ship
32,8122050,ship
33,8202070,ship
34,8304086,ship
35,8307064,ship
36,8307777,ship
37,8401315,ship
38,8402955,ship
39,9042233,ship
40,9045572,ship
41,9047075,ship
42,9057575,ship
43,9066758,ship
44,9087855,ship
45,9122863,ship
46,9159555,ship
47,9163300,ship
48,9163506,ship
49,9168489,ship
50,9172208,ship
51,9205835,ship
52,9212101,ship
53,9212113,ship
54,9254680,ship
55,9282431,ship
56,9284867,ship
57,9284908,ship
58,9284910,ship
59,9285043,ship
60,9306627,ship
61,9328936,ship
62,9328948,ship
63,9330824,ship
64,9337315,ship
65,9340714,ship
66,9354832,ship
67,9354856,ship
68,9354868,ship
69,9361196,ship
70,9361201,ship
71,9361213,ship
72,9361225,ship
73,9361237,ship
74,9379129,ship
75,9379131,ship
76,9396488,ship
77,9399911,ship
78,9401477,ship
79,9401489,ship
80,9401491,ship
81,9421324,ship
82,9421336,ship
83,9428334,ship
84,9428346,ship
85,9428372,ship
86,9428384,ship
87,9442720,ship
88,9444534,ship
89,9447691,ship
90,9447706,ship
91,9447718,ship
92,9447720,ship
93,9488865,ship
94,9513139,ship
95,9524449,ship
96,9524451,ship
97,9524463,ship
98,9524475,ship
99,9564097,ship
100,"13, Pandoras & Kyprou Streets, Glyfada, 166 74 Athens, Greece",address
101,"141, Filonos & Filellinon Streets, 185 36 Piraeus, Greece",address
102,"141, Filonos Street, Piraeus, Greece",address
103,"145 Hudson Street, 8A, New York, NY",address
104,"15, Aristidou Street, 185 31 Piraeus, Greece",address
105,"17th km, National Road Athens-Lamia, Kifisia, 145 64 Athens, Greece",address
106,"215, Kifisias Avenue, Marousi, 151 24 Athens, Greece",address
107,30 210 2453 8437,phone number
108,30 210 411 0948,phone number
109,30 210 412 8928,phone number
110,30 210 417 0616,phone number
111,30 210 422 2127,phone number
112,30 210 422 2660,phone number
113,30 210 422 2678,phone number
114,30 210 612 3402,phone number
115,30 210 612 3461,phone number
116,30 210 612 6206,phone number
117,30 210 612 6207,phone number
118,30 210 620 9520,phone number
119,30 210 620 9528,phone number
120,30 210 623 0238,phone number
121,30 210 623 0557,phone number
122,30 210 623 1449,phone number
123,30 210 623 2044,phone number
124,30 210 818 2197,phone number
125,30 210 818 7000,phone number
126,30 210 894 8823,phone number
127,30 210 898 5056,phone number
128,30 210 960 4210,phone number
129,30 211 102 4000,phone number
130,30 211 102 4022,phone number
